"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3780","100072 (3780)","3623","100369 (3623)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",855,650,1124
"3780","100072 (3780)","3624","10001S (3624)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",635,428,941
"3780","100072 (3780)","3625","10001U (3625)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",631,416,956
"3780","100072 (3780)","3626","10001J (3626)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",717,455,1127
"3780","100072 (3780)","3627","100095 (3627)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",590,401,867
"3780","100072 (3780)","3628","508596 (3628)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2460,2019,2997
"3780","100072 (3780)","3629","10001K (3629)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",671,435,1034
"3780","100072 (3780)","3630","100199 (3630)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",490,301,796
"3780","100072 (3780)","3631","10009D (3631)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",481,322,718
"3780","100072 (3780)","3632","100366 (3632)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",942,744,1191
"3780","100072 (3780)","3633","100212 (3633)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",522,356,764
"3780","100072 (3780)","3634","10001L (3634)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",748,510,1096
"3780","100072 (3780)","3635","10001N (3635)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",685,460,1018
"3780","100072 (3780)","3637","100511 (3637)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1053,764,1450
"3780","100072 (3780)","3638","10001O (3638)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",636,413,977
"3780","100072 (3780)","3639","406762 (3639)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1808,1356,2409
"3780","100072 (3780)","3640","406652 (3640)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1528,1083,2154
"3780","100072 (3780)","3641","100367 (3641)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",969,722,1298
"3780","100072 (3780)","3642","10009A (3642)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",543,361,816
"3780","100072 (3780)","3643","10001R (3643)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",581,384,878
"3780","100072 (3780)","3644","10001P (3644)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",591,386,903
"3780","100072 (3780)","3645","10009E (3645)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",444,290,677
"3780","100072 (3780)","3646","100194 (3646)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",369,242,562
"3780","100072 (3780)","3647","10001V (3647)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",504,326,777
"3780","100072 (3780)","3648","100368 (3648)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",973,729,1298
"3780","100072 (3780)","3649","100198 (3649)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",451,276,734
"3780","100072 (3780)","3650","100028 (3650)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",659,400,1084
"3780","100072 (3780)","3651","100027 (3651)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",671,452,994
"3780","100072 (3780)","3652","100099 (3652)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",495,329,743
"3780","100072 (3780)","3653","100152 (3653)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",647,380,1099
"3780","100072 (3780)","3654","100514 (3654)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1167,900,1511
"3780","100072 (3780)","3655","100087 (3655)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",386,245,607
"3780","100072 (3780)","3656","100025 (3656)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",584,386,883
"3780","100072 (3780)","3657","100026 (3657)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",668,436,1023
"3780","100072 (3780)","3659","100195 (3659)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",351,223,550
"3780","100072 (3780)","3660","100024 (3660)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",623,412,941
"3780","100072 (3780)","3661","100436 (3661)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1576,1284,1934
